종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","의료·정밀기기","1459","-5","-0.34","77413139360"
"054620","APS","KOSDAQ","금융","4620","40","0.87","84981301020"
"265520","AP시스템","KOSDAQ","기계·장비","22750","-1800","-7.33","342406177750"
"211270","AP위성","KOSDAQ","전기·전자","19430","-1170","-5.68","293049166720"
"139050","BF랩스","KOSDAQ","IT 서비스","2805","0","0.00","24247965555"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","4115","115","2.88","258285789385"
"083790","CG인바이츠","KOSDAQ","일반서비스","1327","16","1.22","102038579514"
"035760","CJ ENM","KOSDAQ","오락·문화","76500","3800","5.23","1677580281000"
"311690","CJ 바이오사이언스","KOSDAQ","일반서비스","8780","310","3.66","114714756360"
"051500","CJ프레시웨이","KOSDAQ","유통","33500","-900","-2.62","397698131000"
"058820","CMG제약","KOSDAQ","제약","2100","30","1.45","310468584300"
"056730","CNT85","KOSDAQ","건설","546","6","1.11","40464707556"
"065770","CS","KOSDAQ","전기·전자","850","-6","-0.70","16499460500"
"083660","CSA 코스믹","KOSDAQ","화학","433","-24","-5.25","27205155747"
"477760","DB금융스팩12호","KOSDAQ","금융","2225","5","0.23","12994000000"
"099520","DGI","KOSDAQ","전기·전자","1284","0","0.00","58141862016"
"290120","DH오토리드","KOSDAQ","운송장비·부품","2740","70","2.62","43358442260"
"025440","DH오토웨어","KOSDAQ","전기·전자","1022","-13","-1.26","49854410928"
"068790","DMS","KOSDAQ","기계·장비","6330","0","0.00","142869517920"
"241520","DSC인베스트먼트","KOSDAQ","금융","11500","2650","29.94","310500000000"
"180400","DXVX","KOSDAQ","일반서비스","4665","615","15.19","459173300280"
"418620","E8","KOSDAQ","IT 서비스","1375","-6","-0.43","27294405875"
"245620","EDGC","KOSDAQ","일반서비스","415","0","0.00","57474989665"
"037370","EG","KOSDAQ","화학","6310","210","3.44","54423573320"
"050120","ES큐브","KOSDAQ","유통","2800","35","1.27","37979440800"
"214270","FSN","KOSDAQ","IT 서비스","1931","34","1.79","84367241829"
"130500","GH신소재","KOSDAQ","섬유·의류","2545","5","0.20","37017157340"
"900290","GRT","KOSDAQ","금융","3765","-135","-3.46","304400250000"
"083450","GST","KOSDAQ","기계·장비","28450","-850","-2.90","524333500000"
"297890","HB솔루션","KOSDAQ","기계·장비","2305","-65","-2.74","168589806770"
"440290","HB인베스트먼트","KOSDAQ","금융","2190","60","2.82","60239081700"
"078150","HB테크놀러지","KOSDAQ","기계·장비","2180","-35","-1.58","202120696880"
"225530","HC보광산업","KOSDAQ","비금속","2920","35","1.21","106109082840"
"060560","HC홈센타","KOSDAQ","유통","697","2","0.29","88477185576"
"376270","HEM파마","KOSDAQ","일반서비스","80700","-7300","-8.30","579565368900"
"195940","HK이노엔","KOSDAQ","제약","55000","200","0.36","1558144005000"
"028300","HLB","KOSDAQ","제약","52100","-600","-1.14","6933553548200"
"278650","HLB바이오스텝","KOSDAQ","일반서비스","1306","9","0.69","113629233934"
"067630","HLB생명과학","KOSDAQ","제약","4065","10","0.25","495592840770"
"024850","HLB이노베이션","KOSDAQ","전기·전자","3180","0","0.00","468527217540"
"187420","HLB제넥스","KOSDAQ","제약","2760","55","2.03","80600191680"
"047920","HLB제약","KOSDAQ","일반서비스","16280","-110","-0.67","533973515680"
"115450","HLB테라퓨틱스","KOSDAQ","유통","2945","40","1.38","248505764535"
"046210","HLB파나진","KOSDAQ","제약","1677","3","0.18","76254286758"
"196300","HLB펩","KOSDAQ","제약","7490","-70","-0.93","69607551020"
"403870","HPSP","KOSDAQ","기계·장비","44300","-2150","-4.63","3721161016000"
"036640","HRS","KOSDAQ","화학","5220","40","0.77","85372056000"
"467930","IBKS제23호스팩","KOSDAQ","금융","2220","0","0.00","9390600000"
"469480","IBKS제24호스팩","KOSDAQ","금융","2275","15","0.66","9623250000"
