종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","일반서비스","5340","10","0.19","241649733060"
"006840","AK홀딩스","KOSPI","기타금융","8110","200","2.53","107437719710"
"027410","BGF","KOSPI","기타금융","4150","40","0.97","397224682650"
"282330","BGF리테일","KOSPI","유통","126200","2900","2.35","2181228937200"
"138930","BNK금융지주","KOSPI","기타금융","19700","250","1.29","6113442550100"
"001460","BYC","KOSPI","섬유·의류","54100","6500","13.66","337916715000"
"001465","BYC우","KOSPI","섬유·의류","26550","1700","6.84","57184717500"
"001040","CJ","KOSPI","기타금융","223000","11000","5.19","6506470554000"
"079160","CJ CGV","KOSPI","오락·문화","6090","50","0.83","1008393271620"
"00104K","CJ4우(전환)","KOSPI","기타금융","182700","5700","3.22","772183742400"
"000120","CJ대한통운","KOSPI","운송·창고","136700","19600","16.74","3118447424800"
"011150","CJ씨푸드","KOSPI","음식료·담배","2925","50","1.74","105097511025"
"011155","CJ씨푸드1우","KOSPI","음식료·담배","15540","390","2.57","3108000000"
"001045","CJ우","KOSPI","기타금융","101500","2900","2.94","229412634500"
"097950","CJ제일제당","KOSPI","음식료·담배","228500","9500","4.34","3439881501000"
"097955","CJ제일제당 우","KOSPI","음식료·담배","142500","2500","1.79","189159202500"
"000480","CR홀딩스","KOSPI","비금속","4785","45","0.95","224370994650"
"000590","CS홀딩스","KOSPI","기타금융","83300","700","0.85","96168350600"
"012030","DB","KOSPI","IT 서비스","1677","-3","-0.18","337368685641"
"005830","DB손해보험","KOSPI","보험","171800","3200","1.90","11920171200000"
"016610","DB증권","KOSPI","증권","13530","480","3.68","574299643170"
"000990","DB하이텍","KOSPI","전기·전자","96800","-2200","-2.22","4211244118400"
"000300","DH오토넥스","KOSPI","운송장비·부품","4200","0","0.00","174035631000"
"001530","DI동일","KOSPI","유통","21400","400","1.90","422206592000"
"015590","DKME","KOSPI","기계·장비","515","0","0.00","122045495160"
"000210","DL","KOSPI","화학","46300","1500","3.35","970257429200"
"000215","DL우","KOSPI","화학","25000","500","2.04","42152875000"
"375500","DL이앤씨","KOSPI","건설","49400","1100","2.28","1911464976200"
"37550L","DL이앤씨2우(전환)","KOSPI","건설","35950","400","1.13","75924638450"
"37550K","DL이앤씨우","KOSPI","건설","24550","350","1.45","51895876750"
"007340","DN오토모티브","KOSPI","전기·전자","29250","1250","4.46","1711442801250"
"004840","DRB동일","KOSPI","화학","5670","50","0.89","113003100000"
"155660","DSR","KOSPI","금속","3965","20","0.51","63440000000"
"069730","DSR제강","KOSPI","금속","4160","140","3.48","59904000000"
"017860","DS단석","KOSPI","화학","19460","270","1.41","342188765520"
"092780","DYP","KOSPI","운송장비·부품","5220","-40","-0.76","68739361200"
"017940","E1","KOSPI","유통","95300","-8600","-8.28","653758000000"
"365550","ESR켄달스퀘어리츠","KOSPI","부동산","4370","5","0.11","1075408930000"
"383220","F&F","KOSPI","섬유·의류","77500","2300","3.06","2968798312500"
"007700","F&F홀딩스","KOSPI","기타금융","21250","950","4.68","831180298750"
"114090","GKL","KOSPI","오락·문화","13330","170","1.29","824536081100"
"078930","GS","KOSPI","기타금융","70000","-1300","-1.82","6504076460000"
"006360","GS건설","KOSPI","건설","21400","1100","5.42","1831443886000"
"001250","GS글로벌","KOSPI","유통","2465","45","1.86","203445728260"
"007070","GS리테일","KOSPI","유통","22350","1350","6.43","1868625725250"
"078935","GS우","KOSPI","기타금융","56000","200","0.36","99950256000"
"499790","GS피앤엘","KOSPI","기타금융","62000","800","1.31","1229512142000"
"012630","HDC","KOSPI","기타금융","20700","870","4.39","1236653624700"
"039570","HDC랩스","KOSPI","건설","8180","-40","-0.49","212333176180"
"089470","HDC현대EP","KOSPI","화학","5140","0","0.00","163966000000"
"294870","HDC현대산업개발","KOSPI","건설","23550","1650","7.53","1552117621500"
"267270","HD건설기계","KOSPI","기계·장비","130200","6700","5.43","6246230163600"
"009540","HD한국조선해양","KOSPI","기타금융","382000","-8000","-2.05","27035330312000"
"267250","HD현대","KOSPI","기타금융","245000","0","0.00","19353305825000"
"443060","HD현대마린솔루션","KOSPI","일반서비스","170100","1600","0.95","7625810083500"
"071970","HD현대마린엔진","KOSPI","기계·장비","84200","1600","1.94","2856189879000"
"322000","HD현대에너지솔루션","KOSPI","전기·전자","78900","-5900","-6.96","883680000000"
"267260","HD현대일렉트릭","KOSPI","전기·전자","939000","6000","0.64","33848259765000"
"329180","HD현대중공업","KOSPI","운송장비·부품","534000","-6000","-1.11","56049294150000"
"097230","HJ중공업","KOSPI","건설","23600","-350","-1.46","2130970118400"
"014790","HL D&I","KOSPI","건설","3185","5","0.16","120579644185"
"003580","HLB글로벌","KOSPI","유통","2155","-5","-0.23","109179853275"
"204320","HL만도","KOSPI","운송장비·부품","59000","1000","1.72","2770470080000"
"060980","HL홀딩스","KOSPI","기타금융","45450","400","0.89","418752529650"
"011200","HMM","KOSPI","운송·창고","21200","800","3.92","19996644964000"
"035000","HS애드","KOSPI","일반서비스","8540","150","1.79","138413279760"
"002460","HS화성","KOSPI","건설","12900","440","3.53","130935000000"
"487570","HS효성","KOSPI","기타금융","60100","-1000","-1.64","223928212700"
"298050","HS효성첨단소재","KOSPI","화학","259500","2000","0.78","1162546506000"
"015360","INVENI","KOSPI","일반서비스","78600","-100","-0.13","448020000000"
"175330","JB금융지주","KOSPI","기타금융","29800","250","0.85","5658561109800"
"234080","JW생명과학","KOSPI","제약","13140","470","3.71","208066039560"
"001060","JW중외제약","KOSPI","제약","32900","400","1.23","766107097000"
"001067","JW중외제약2우B","KOSPI","제약","58900","0","0.00","12367409700"
"001065","JW중외제약우","KOSPI","제약","28400","-50","-0.18","9711408400"
"096760","JW홀딩스","KOSPI","기타금융","4155","95","2.34","307158134010"
"008970","KBI동양철관","KOSPI","금속","1813","27","1.51","188129402391"
"105560","KB금융","KOSPI","기타금융","155500","4100","2.71","57978245752500"
"415640","KB발해인프라","KOSPI","기타금융","10050","60","0.60","1231582757400"
"432320","KB스타리츠","KOSPI","부동산","3560","0","0.00","361034854600"
"002380","KCC","KOSPI","화학","489500","4000","0.82","4349927554500"
"344820","KCC글라스","KOSPI","비금속","28200","750","2.73","450368438400"
"009070","KCTC","KOSPI","운송·창고","7500","410","5.78","225000000000"
"009440","KC그린홀딩스","KOSPI","기타금융","756","0","0.00","17568790596"
"119650","KC코트렐","KOSPI","기계·장비","918","0","0.00","100782913662"
"092220","KEC","KOSPI","전기·전자","767","9","1.19","153985329147"
"003620","KG모빌리티","KOSPI","운송장비·부품","4020","75","1.90","813547146240"
"016380","KG스틸","KOSPI","금속","5800","190","3.39","580051602600"
"001390","KG케미칼","KOSPI","화학","5950","-10","-0.17","400036528500"
"001940","KISCO홀딩스","KOSPI","금속","23500","300","1.29","333144930000"
"025000","KPX케미칼","KOSPI","화학","50500","100","0.20","221124804500"
"092230","KPX홀딩스","KOSPI","화학","76700","0","0.00","324030348200"
"000040","KR모터스","KOSPI","운송장비·부품","426","-6","-1.39","36795828384"
"044450","KSS해운","KOSPI","운송·창고","10310","310","3.10","238015422800"
"030200","KT","KOSPI","통신","60700","1400","2.36","15297716279500"
"033780","KT&G","KOSPI","음식료·담배","172000","3500","2.08","20291982940000"
"058850","KTcs","KOSPI","IT 서비스","2870","50","1.77","122505950000"
"058860","KTis","KOSPI","IT 서비스","2930","65","2.27","101969860000"
"093050","LF","KOSPI","섬유·의류","21350","850","4.15","624274000000"
"003550","LG","KOSPI","기타금융","92900","1300","1.42","14327185246500"
"034220","LG디스플레이","KOSPI","전기·전자","11670","200","1.74","5835000000000"
"051900","LG생활건강","KOSPI","화학","274500","6000","2.23","4200524995500"
"051905","LG생활건강우","KOSPI","화학","116100","500","0.43","243774821700"
"064400","LG씨엔에스","KOSPI","IT 서비스","69000","-400","-0.58","6685130412000"
"373220","LG에너지솔루션","KOSPI","전기·전자","390500","-4000","-1.01","91377000000000"
"003555","LG우","KOSPI","기타금융","71200","1500","2.15","214397368800"
"032640","LG유플러스","KOSPI","통신","16020","270","1.71","6885850247100"
"011070","LG이노텍","KOSPI","전기·전자","243500","8000","3.40","5762940554500"
"066570","LG전자","KOSPI","전기·전자","104000","1400","1.36","16940184248000"
"066575","LG전자우","KOSPI","전기·전자","50400","300","0.60","866173996800"
"037560","LG헬로비전","KOSPI","오락·문화","2455","75","3.15","190132053575"
"051910","LG화학","KOSPI","화학","321000","10500","3.38","22660142103000"
"051915","LG화학우","KOSPI","화학","158500","3300","2.13","1218674800000"
"079550","LIG넥스원","KOSPI","금속","461000","13000","2.90","10142000000000"
"006260","LS","KOSPI","기타금융","218500","-7500","-3.32","6926450000000"
"010120","LS ELECTRIC","KOSPI","전기·전자","637000","-9000","-1.39","19110000000000"
"000680","LS네트웍스","KOSPI","유통","3490","25","0.72","275022525840"
"229640","LS에코에너지","KOSPI","기타금융","42700","200","0.47","1307682333300"
"108320","LX세미콘","KOSPI","전기·전자","54700","-600","-1.08","889657210000"
"001120","LX인터내셔널","KOSPI","유통","43950","1200","2.81","1703502000000"
"108670","LX하우시스","KOSPI","화학","31100","750","2.47","278894537000"
"108675","LX하우시스우","KOSPI","화학","16930","270","1.62","17477346900"
"383800","LX홀딩스","KOSPI","기타금융","8750","200","2.34","667456037500"
"38380K","LX홀딩스1우","KOSPI","기타금융","8700","-10","-0.11","12747979500"
"023150","MH에탄올","KOSPI","음식료·담배","4390","55","1.27","32391729140"
"035420","NAVER","KOSPI","IT 서비스","254000","4000","1.60","39840570052000"
"181710","NHN","KOSPI","IT 서비스","33000","550","1.69","1080853587000"
"400760","NH올원리츠","KOSPI","부동산","3330","0","0.00","182914485750"
"005940","NH투자증권","KOSPI","증권","28450","1700","6.36","10137997298050"
"005945","NH투자증권우","KOSPI","증권","23650","950","4.19","446298393200"
"338100","NH프라임리츠","KOSPI","부동산","4450","10","0.23","83037000000"
"034310","NICE","KOSPI","일반서비스","13790","150","1.10","506881195030"
"030190","NICE평가정보","KOSPI","IT 서비스","17400","960","5.84","1025060569800"
"008260","NI스틸","KOSPI","금속","3700","180","5.11","105820432900"
"004250","NPC","KOSPI","화학","3895","55","1.43","143024400000"
"004255","NPC우","KOSPI","화학","2405","30","1.26","12698400000"
"456040","OCI","KOSPI","화학","78300","-100","-0.13","700980358500"
"010060","OCI홀딩스","KOSPI","기타금융","151900","-3100","-2.00","2836008240800"
"178920","PI첨단소재","KOSPI","화학","19750","-900","-4.36","579984859500"
"001340","PKC","KOSPI","화학","6570","140","2.18","295113933990"
"005490","POSCO홀딩스","KOSPI","금속","371000","7500","2.06","30026125192000"
"010950","S-Oil","KOSPI","화학","100600","1000","1.00","11325828875200"
"010955","S-Oil우","KOSPI","화학","55100","800","1.47","221608177700"
"034120","SBS","KOSPI","오락·문화","18690","460","2.52","346722638220"
"003080","SB성보","KOSPI","화학","2705","-5","-0.18","54154100000"
"005090","SGC에너지","KOSPI","전기·가스","30850","1750","6.01","444527923050"
"001380","SG글로벌","KOSPI","운송장비·부품","1660","10","0.61","74640477380"
"004060","SG세계물산","KOSPI","유통","433","-27","-5.87","87650007680"
"001770","SHD","KOSPI","금속","17500","-480","-2.67","21260365000"
"002360","SH에너지화학","KOSPI","화학","353","2","0.57","39230206690"
"009160","SIMPAC","KOSPI","금속","5260","40","0.77","343851291680"
"033530","SJG세종","KOSPI","운송장비·부품","10750","120","1.13","299075330750"
"123700","SJM","KOSPI","운송장비·부품","3720","45","1.22","58050220560"
"025530","SJM홀딩스","KOSPI","유통","3700","100","2.78","55255829600"
"034730","SK","KOSPI","기타금융","330500","500","0.15","23962143341500"
"011790","SKC","KOSPI","화학","111700","-2300","-2.02","4229888886600"
"018670","SK가스","KOSPI","유통","224000","1500","0.67","2070934656000"
"001740","SK네트웍스","KOSPI","유통","5050","-190","-3.63","1117453405100"
"006120","SK디스커버리","KOSPI","기타금융","57100","3400","6.33","1047662520500"
"006125","SK디스커버리우","KOSPI","기타금융","38900","600","1.57","51054499500"
"210980","SK디앤디","KOSPI","부동산","12720","0","0.00","236813099040"
"395400","SK리츠","KOSPI","부동산","5480","-50","-0.90","1646672979600"
"302440","SK바이오사이언스","KOSPI","제약","50400","1050","2.13","3953108930400"
"326030","SK바이오팜","KOSPI","일반서비스","111600","1900","1.73","8739758700000"
"402340","SK스퀘어","KOSPI","기타금융","543000","-20000","-3.55","71723303445000"
"361610","SK아이이테크놀로지","KOSPI","전기·전자","25800","-100","-0.39","2110107180000"
"100090","SK오션플랜트","KOSPI","금속","18070","800","4.63","1128979791030"
"03473K","SK우","KOSPI","기타금융","238000","1500","0.63","134740130000"
"096770","SK이노베이션","KOSPI","화학","111800","2100","1.91","18900101698400"
"096775","SK이노베이션우","KOSPI","화학","70900","900","1.29","88513403400"
"475150","SK이터닉스","KOSPI","건설","23100","500","2.21","779718370200"
"001510","SK증권","KOSPI","증권","936","33","3.65","442344400056"
"001515","SK증권우","KOSPI","증권","2730","25","0.92","10681163220"
